Game_id,Penalty_Number,Team,Player,Age,BirthYear
16,1,KOR,Hwang Sun-hong,34,1968
16,2,SPA,Hierro,34,1968
16,3,KOR,Park Ji-sung,21,1981
16,4,SPA,Baraja,27,1975
16,5,KOR,Seol Ki-hyeon,23,1979
16,6,SPA,Xavi,22,1980
16,7,KOR,Ahn Jung-hwan,26,1976
16,8,SPA,Joaquín,21,1981
16,9,KOR,Hong Myung-bo,33,1969
16,10,SPA,,,
17,1,UKR,Shevchenko,30,1976
17,2,SWZ,Streller,25,1981
17,3,UKR,Milevskyi,21,1985
17,4,SWZ,Barnetta,21,1985
17,5,UKR,Rebrov,32,1974
17,6,SWZ,Cabanas,27,1979
17,7,UKR,Husyev,23,1983
17,8,SWZ,,,
17,9,UKR,,,
17,10,SWZ,,,
18,1,GER,Neuville,33,1973
18,2,ARG,Cruz,32,1974
18,3,GER,Ballack,30,1976
18,4,ARG,Ayala,33,1973
18,5,GER,Podolski,21,1985
18,6,ARG,Rodríguez,25,1981
18,7,GER,Borowski,26,1980
18,8,ARG,Cambiasso,26,1980
18,9,GER,,,
18,10,ARG,,,
19,1,POR,Simão,27,1979
19,2,ENG,Lampard,28,1978
19,3,POR,Viana,23,1983
19,4,ENG,Hargreaves,25,1981
19,5,POR,Petit,30,1976
19,6,ENG,Gerrard,26,1980
19,7,POR,Postiga,24,1982
19,8,ENG,Carragher,28,1978
19,9,POR,Ronaldo,30,1976
19,10,ENG,,,
20,1,ITA,Pirlo,27,1979
20,2,FRA,Wiltord,32,1974
20,3,ITA,Materazzi,33,1973
20,4,FRA,Trezeguet,29,1977
20,5,ITA,De Rossi,23,1983
20,6,FRA,Abidal,27,1979
20,7,ITA,Del Piero,32,1974
20,8,FRA,Sagnol,29,1977
20,9,ITA,Grosso,29,1977
20,10,FRA,,,
21,1,PAR,Barreto,26,1984
21,2,JAP,Endō,30,1980
21,3,PAR,Barrios,26,1984
21,4,JAP,Hasebe,26,1984
21,5,PAR,Riveros,28,1982
21,6,JAP,Komano,29,1981
21,7,PAR,Valdez,27,1983
21,8,JAP,Honda,24,1986
21,9,PAR,Cardozo,27,1983
21,10,JAP,,,
